200,18406.2345,Success,a2340b65-26f7-4312-b54f-fd985e72dcfb,
200,18074.5766,Success,ecc46823-f91d-4889-9762-d7d579b91a48,
200,18603.1921,Success,4c401b75-274c-463e-b62a-a813e48d6f0e,
200,19011.1673,Success,d5829ed8-7266-4075-888e-d6ed8325c053,
200,18786.2576,Success,d9d605d0-fdc9-44fd-9de0-00319adb34f3,
200,18362.1307,Success,f8944404-a8f0-42c3-9dab-b33f300de032,
200,18678.5446,Success,99fbee44-498a-4587-ac06-97d2ede0bfd6,
200,18499.2335,Success,12b479dc-09d0-4d14-ad2c-06fa2df268ab,
200,18483.4461,Success,4d8466de-ca75-4c44-9448-1e7a4ad1f686,
200,18825.4435,Success,18c24afe-04ea-4488-99aa-625b92952582,
200,18626.6165,Success,f17b0c63-5337-4609-80a7-66e994fbc368,
200,18102.8846,Success,2ccfd40b-b1ed-4d64-a865-3caf38b35832,
200,18379.5993,Success,27fd7d74-aeb9-4040-ad1f-558039067cf1,
200,19022.8336,Success,e70a0be9-74e3-4394-894e-9be5880f9cfc,
200,18833.2728,Success,2bf453fa-a1d0-4f7f-aea2-40b009800e2b,
200,19089.9672,Success,4260d2cc-1295-42e9-8199-8fecd9b0ff68,
200,18990.4407,Success,66d64a26-73c7-45aa-8434-47f2d99dde7d,
200,19099.5102,Success,5f5bf223-bf38-49ec-ba7e-7f7b35938df0,
200,19147.8145,Success,40001a27-934a-42c3-8d04-8755a94b8de5,
200,18996.0895,Success,0e288971-c1c2-4e3c-bc37-b6c1effca6a8,
200,18844.4848,Success,8a42c345-bcd6-458a-9405-81f3d5bdb8fc,
200,19204.644,Success,ac384763-5766-4bb2-84d7-c8729625ad81,
200,18409.5107,Success,33ae5bc1-b5c7-4fdf-8bfb-52bd8b5d6a8b,
200,19078.111,Success,c0b9a5ca-7406-4abb-b280-b05ac5cceb8f,
200,18958.87,Success,191ee10e-6f3a-494e-913c-008f4dbd5072,
200,18929.2233,Success,475f2ff8-5b94-4d2a-bf75-713cc264b13f,
200,19302.6568,Success,c245d51e-d23e-4c9f-92f4-ba30bf179e3f,
200,19428.2007,Success,c5ee24d3-d8a9-4e6f-a988-73753bb75c1c,
200,18788.1781,Success,3fdc1f2a-39cb-42bb-89a6-ac506eaf6e76,
200,18993.7557,Success,a771a46e-4161-4367-ad32-194f86978690,
200,18695.0502,Success,806acf27-43df-47bc-8f81-08318c15204e,
200,19073.7422,Success,83e74693-e324-4a32-b3ee-1ccb31f46a8e,
200,19095.499,Success,593c987c-49b9-4153-af1c-bdd576e9e029,
200,19343.2111,Success,a0d6e0fe-0d7c-4140-9311-250309b745cc,
200,19456.5402,Success,a5598ee4-6288-4ea1-9501-3efb1a77fcc0,
200,19732.3386,Success,96438bae-1591-486d-9adc-f667a64aa458,
200,19124.9632,Success,ac9c2f36-bb5f-44bb-abaf-7db1b5104d37,
200,19346.8073,Success,5677f3ce-896a-4567-88b1-e733da85b5c1,
200,19445.0294,Success,7e0833f2-6f06-4ef7-b006-e85b4826fac9,
200,19249.0062,Success,620c2994-939b-4115-b14e-d1dd999c837c,
200,19324.5814,Success,9868f0a0-fe59-4d23-87d0-a8eb8cd8d9cc,
200,19133.9558,Success,3d818cd7-b959-4620-9659-b7216bbd5323,
200,19122.1785,Success,8a88cc3d-50b4-485a-a205-312054b8e4ea,
200,19162.8592,Success,41fc0dc0-1566-4887-89b6-9c2dfc86a1ed,
200,19535.2989,Success,38442d87-b3e4-401f-a4ec-265a6d14cf55,
200,18998.8125,Success,45bf2b86-4fec-47bb-b1df-0ebf5ac27d60,
200,18958.3198,Success,9c4e81d7-ae35-4837-80b6-27ce0a17505e,
200,19015.3372,Success,0caf2191-b396-434e-bf50-8ca3978e13e2,
200,19832.8871,Success,eba230c4-0695-4a66-aae4-c1c469682c60,
200,18878.266,Success,bf921480-0131-4866-95aa-94eb389a2ecf,
200,19264.6361,Success,17ffa19f-4d96-43e7-aa7e-97ad78b197d3,
200,18901.8043,Success,7a46326f-3dd3-49a0-b83c-200cbdf7ccf1,
200,19588.7697,Success,899b9e7f-70a9-43f6-a534-388743f83042,
200,19394.2154,Success,a3278edd-1d16-417e-934b-e659a8bbc7af,
200,19396.4759,Success,bc5f7aa1-25e1-4606-a879-7bb957f6ca61,
200,19069.5737,Success,3c9c5549-2c99-44d1-9c39-92d9f5fafe87,
200,19412.6515,Success,144fad7f-6b4e-4525-a250-53a999d9f722,
200,19447.7295,Success,26e5fb93-8aa8-4bd5-9979-f533e67e130d,
200,18963.6953,Success,ef02b81f-f925-4c8e-a9e4-82e8ff7d3e7b,
200,19738.5963,Success,f273cbab-089b-4e6f-9a06-0fe3a5574019,
200,19041.9931,Success,cfddd823-6cde-4325-b46f-c1b430c56270,
200,19433.7607,Success,93bc4f27-6bdc-4753-9d98-98426df767ec,
200,19282.3923,Success,1a83b535-197d-4b4d-b941-62869d44c4fa,
200,19492.1901,Success,bf210d61-ff14-4a21-a46a-3d81ef2c9472,
